Year,m,d,Time,Time zone,Direction of waves (deg),Wave height (m)
2019,4,18,06:30,UTC,182,0.2
2019,4,18,07:00,UTC,175,0.1
2019,4,18,07:30,UTC,74,0.1
2019,4,18,08:00,UTC,154,0.1
2019,4,18,08:30,UTC,307,0.1
2019,4,18,09:00,UTC,334,0.1
2019,4,18,09:30,UTC,171,0.1
2019,4,18,10:00,UTC,158,0.1
2019,4,18,10:30,UTC,117,0.1
2019,4,18,11:00,UTC,168,0.1
2019,4,18,11:30,UTC,148,0.1
2019,4,18,12:00,UTC,61,0.1
2019,4,18,12:30,UTC,172,0.1
2019,4,18,13:00,UTC,193,0.1
2019,4,18,13:30,UTC,181,0.1
2019,4,18,14:00,UTC,195,0.1
2019,4,18,14:30,UTC,116,0.1
2019,4,18,15:00,UTC,217,0.1
2019,4,18,15:30,UTC,174,0.1
2019,4,18,16:00,UTC,175,0.1
2019,4,18,16:30,UTC,178,0.1
2019,4,18,17:00,UTC,175,0.1
2019,4,18,17:30,UTC,72,0.1
2019,4,18,18:00,UTC,183,0.1
2019,4,18,18:30,UTC,178,0.1
2019,4,18,19:00,UTC,179,0.1
2019,4,18,19:30,UTC,53,0.1
2019,4,18,20:00,UTC,175,0
2019,4,18,20:30,UTC,202,0
2019,4,18,21:00,UTC,219,0.1
2019,4,18,21:30,UTC,160,0.1
2019,4,18,22:00,UTC,179,0.1
2019,4,18,22:30,UTC,176,0
2019,4,18,23:00,UTC,46,0.1
2019,4,18,23:30,UTC,197,0
2019,4,19,00:00,UTC,206,0
2019,4,19,00:30,UTC,217,0.1
2019,4,19,01:00,UTC,206,0
2019,4,19,01:30,UTC,72,0.1
2019,4,19,02:00,UTC,172,0
2019,4,19,02:30,UTC,168,0.1
2019,4,19,03:00,UTC,206,0.1
2019,4,19,03:30,UTC,197,0.1
2019,4,19,04:00,UTC,199,0.1
2019,4,19,04:30,UTC,60,0.1
2019,4,19,05:00,UTC,172,0.1
2019,4,19,05:30,UTC,168,0.1
2019,4,19,06:00,UTC,165,0.1
2019,4,19,06:30,UTC,178,0.1
2019,4,19,07:00,UTC,183,0.1
2019,4,19,07:30,UTC,164,0.1
2019,4,19,08:00,UTC,186,0.1
2019,4,19,08:30,UTC,164,0.1
2019,4,19,09:00,UTC,190,0.1
2019,4,19,09:30,UTC,175,0.1
2019,4,19,10:00,UTC,169,0.1
2019,4,19,10:30,UTC,302,0.1
2019,4,19,11:00,UTC,172,0.1
2019,4,19,11:30,UTC,188,0.1
2019,4,19,12:00,UTC,174,0.1
2019,4,19,12:30,UTC,189,0.1
2019,4,19,13:00,UTC,193,0.1
2019,4,19,13:30,UTC,189,0.1
2019,4,19,14:00,UTC,192,0.1
2019,4,19,14:30,UTC,183,0.1
2019,4,19,15:00,UTC,200,0.1
2019,4,19,15:30,UTC,171,0.1
2019,4,19,16:00,UTC,300,0.2
2019,4,19,16:30,UTC,181,0.1
2019,4,19,17:00,UTC,134,0.1
2019,4,19,17:30,UTC,190,0.1
2019,4,19,18:00,UTC,182,0.1
2019,4,19,18:30,UTC,172,0.1
2019,4,19,19:00,UTC,202,0.1
2019,4,19,19:30,UTC,189,0.1
2019,4,19,20:00,UTC,200,0.1
2019,4,19,20:30,UTC,192,0.1
2019,4,19,21:00,UTC,210,0.1
2019,4,19,21:30,UTC,176,0.1
2019,4,19,22:00,UTC,145,0.1
2019,4,19,22:30,UTC,203,0.1
2019,4,19,23:00,UTC,202,0.1
2019,4,19,23:30,UTC,205,0.1
2019,4,20,00:00,UTC,209,0.1
2019,4,20,00:30,UTC,212,0.1
2019,4,20,01:00,UTC,212,0.1
2019,4,20,01:30,UTC,203,0.1
2019,4,20,02:00,UTC,202,0.1
2019,4,20,02:30,UTC,200,0.1
2019,4,20,03:00,UTC,107,0.1
2019,4,20,03:30,UTC,193,0.1
2019,4,20,04:00,UTC,199,0.1
2019,4,20,04:30,UTC,193,0.1
2019,4,20,05:00,UTC,157,0.1
2019,4,20,05:30,UTC,186,0.1
2019,4,20,06:00,UTC,174,0.1
2019,4,20,06:30,UTC,171,0.2
2019,4,20,07:00,UTC,196,0.1
2019,4,20,07:30,UTC,185,0.1
2019,4,20,08:00,UTC,205,0.1
2019,4,20,08:30,UTC,185,0.1
2019,4,20,09:00,UTC,183,0.1
2019,4,20,09:30,UTC,169,0.1
2019,4,20,10:00,UTC,200,0.1
2019,4,20,10:30,UTC,206,0.1
2019,4,20,11:00,UTC,206,0.1
2019,4,20,11:30,UTC,202,0.1
2019,4,20,12:00,UTC,150,0.1
2019,4,20,12:30,UTC,179,0.1
2019,4,20,13:00,UTC,189,0.1
2019,4,20,13:30,UTC,289,0.1
2019,4,20,14:00,UTC,65,0.1
2019,4,20,14:30,UTC,313,0.1
