Year,m,d,Time,Time zone,Direction of waves (deg),Wave height (m)
2019,1,1,00:00,UTC,216,2.8
2019,1,1,00:30,UTC,215,2.7
2019,1,1,01:00,UTC,213,2.6
2019,1,1,01:30,UTC,219,2.4
2019,1,1,02:00,UTC,223,2.4
2019,1,1,02:30,UTC,218,2.2
2019,1,1,03:00,UTC,223,2.3
2019,1,1,03:30,UTC,212,2
2019,1,1,04:00,UTC,209,2
2019,1,1,04:30,UTC,208,1.7
2019,1,1,05:00,UTC,213,1.7
2019,1,1,05:30,UTC,202,1.7
2019,1,1,06:00,UTC,209,1.5
2019,1,1,06:30,UTC,213,1.3
2019,1,1,07:00,UTC,212,1.2
2019,1,1,07:30,UTC,213,1.3
2019,1,1,08:00,UTC,213,1.3
2019,1,1,08:30,UTC,241,1.4
2019,1,1,09:00,UTC,313,1.5
2019,1,1,09:30,UTC,323,1.5
2019,1,1,10:00,UTC,316,1.6
2019,1,1,10:30,UTC,330,1.7
2019,1,1,11:00,UTC,337,1.9
2019,1,1,11:30,UTC,340,1.9
2019,1,1,12:00,UTC,351,1.9
2019,1,1,12:30,UTC,354,1.8
2019,1,1,13:00,UTC,357,1.6
2019,1,1,13:30,UTC,2,1.7
2019,1,1,14:00,UTC,358,1.7
2019,1,1,14:30,UTC,4,1.9
2019,1,1,15:00,UTC,9,2.4
2019,1,1,15:30,UTC,12,2.7
2019,1,1,16:00,UTC,11,2.9
2019,1,1,16:30,UTC,11,3.4
2019,1,1,17:00,UTC,11,3.5
2019,1,1,17:30,UTC,11,3.7
2019,1,1,18:00,UTC,12,3.9
2019,1,1,18:30,UTC,9,4.5
2019,1,1,19:00,UTC,8,4.8
2019,1,1,19:30,UTC,4,4.8
2019,1,1,20:00,UTC,7,4.8
2019,1,1,20:30,UTC,5,5.7
2019,1,1,21:00,UTC,5,5.8
2019,1,1,21:30,UTC,358,
2019,1,1,22:00,UTC,4,6.7
2019,1,1,22:30,UTC,358,
2019,1,1,23:00,UTC,4,8.1
2019,1,1,23:30,UTC,4,7.2
2019,1,2,00:00,UTC,5,7.2
2019,1,2,00:30,UTC,4,6.5
2019,1,2,01:00,UTC,5,6.4
2019,1,2,01:30,UTC,7,7
2019,1,2,02:00,UTC,9,7.1
2019,1,2,02:30,UTC,9,6.7
2019,1,2,03:00,UTC,358,6.2
2019,1,2,03:30,UTC,1,5.7
2019,1,2,04:00,UTC,11,6.2
2019,1,2,04:30,UTC,1,5.4
2019,1,2,05:00,UTC,2,5.7
2019,1,2,05:30,UTC,7,5.5
2019,1,2,06:00,UTC,2,5.3
2019,1,2,06:30,UTC,360,5.5
2019,1,2,07:00,UTC,8,5.8
2019,1,2,07:30,UTC,4,5.8
2019,1,2,08:00,UTC,4,5.6
2019,1,2,08:30,UTC,7,4.9
2019,1,2,09:00,UTC,9,4.6
2019,1,2,09:30,UTC,8,4.6
2019,1,2,10:00,UTC,12,4.4
2019,1,2,10:30,UTC,12,4
2019,1,2,11:00,UTC,8,3.7
2019,1,2,11:30,UTC,8,3.8
2019,1,2,12:00,UTC,12,3.3
2019,1,2,12:30,UTC,8,3.5
2019,1,2,13:00,UTC,4,3.2
2019,1,2,13:30,UTC,8,3
2019,1,2,14:00,UTC,12,2.9
2019,1,2,14:30,UTC,5,2.9
2019,1,2,15:00,UTC,9,2.6
2019,1,2,15:30,UTC,9,2.6
2019,1,2,16:00,UTC,11,2.4
2019,1,2,16:30,UTC,4,2.4
2019,1,2,17:00,UTC,1,2.2
2019,1,2,17:30,UTC,8,2.2
2019,1,2,18:00,UTC,9,2.2
2019,1,2,18:30,UTC,4,2
2019,1,2,19:00,UTC,2,2
2019,1,2,19:30,UTC,2,2
2019,1,2,20:00,UTC,1,1.9
2019,1,2,20:30,UTC,358,1.8
2019,1,2,21:00,UTC,4,1.8
2019,1,2,21:30,UTC,11,1.8
2019,1,2,22:00,UTC,4,1.7
2019,1,2,22:30,UTC,8,1.8
2019,1,2,23:00,UTC,5,1.8
2019,1,2,23:30,UTC,2,1.7
2019,1,3,00:00,UTC,358,1.5
2019,1,3,00:30,UTC,11,1.5
2019,1,3,01:00,UTC,4,1.6
2019,1,3,01:30,UTC,4,1.6
2019,1,3,02:00,UTC,358,1.5
2019,1,3,02:30,UTC,5,1.4
2019,1,3,03:00,UTC,8,1.3
2019,1,3,03:30,UTC,2,1.4
2019,1,3,04:00,UTC,4,1.4
2019,1,3,04:30,UTC,7,1.3
2019,1,3,05:00,UTC,4,1.2
2019,1,3,05:30,UTC,358,1.2
2019,1,3,06:00,UTC,2,1.1
2019,1,3,06:30,UTC,360,1.1
2019,1,3,07:00,UTC,357,1
2019,1,3,07:30,UTC,11,0.9
2019,1,3,08:00,UTC,7,0.9
2019,1,3,08:30,UTC,358,0.9
2019,1,3,09:00,UTC,9,0.8
2019,1,3,09:30,UTC,7,0.8
2019,1,3,10:00,UTC,355,0.8
2019,1,3,10:30,UTC,1,0.7
2019,1,3,11:00,UTC,2,0.6
2019,1,3,11:30,UTC,357,0.6
2019,1,3,12:00,UTC,357,0.5
2019,1,3,12:30,UTC,360,0.5
2019,1,3,13:00,UTC,2,0.5
2019,1,3,13:30,UTC,255,0.6
2019,1,3,14:00,UTC,257,0.6
2019,1,3,14:30,UTC,255,0.7
2019,1,3,15:00,UTC,262,0.8
2019,1,3,15:30,UTC,262,0.9
2019,1,3,16:00,UTC,268,1
2019,1,3,16:30,UTC,251,1.2
2019,1,3,17:00,UTC,254,1.3
2019,1,3,17:30,UTC,251,1.6
2019,1,3,18:00,UTC,244,1.8
2019,1,3,18:30,UTC,244,1.9
2019,1,3,19:00,UTC,241,2
2019,1,3,19:30,UTC,251,2.1
2019,1,3,20:00,UTC,247,2.3
2019,1,3,20:30,UTC,240,2.2
2019,1,3,21:00,UTC,239,2
2019,1,3,21:30,UTC,240,2
2019,1,3,22:00,UTC,243,1.9
2019,1,3,22:30,UTC,240,1.9
2019,1,3,23:00,UTC,244,1.8
2019,1,3,23:30,UTC,241,1.8
2019,1,4,00:00,UTC,237,1.7
2019,1,4,00:30,UTC,236,1.6
2019,1,4,01:00,UTC,234,1.6
2019,1,4,01:30,UTC,227,1.5
2019,1,4,02:00,UTC,222,1.5
2019,1,4,02:30,UTC,285,1.4
2019,1,4,03:00,UTC,230,1.5
2019,1,4,03:30,UTC,289,1.4
2019,1,4,04:00,UTC,220,1.4
2019,1,4,04:30,UTC,289,1.6
2019,1,4,05:00,UTC,275,1.4
2019,1,4,05:30,UTC,298,1.6
2019,1,4,06:00,UTC,298,1.7
2019,1,4,06:30,UTC,282,1.9
2019,1,4,07:00,UTC,305,1.8
2019,1,4,07:30,UTC,305,1.8
2019,1,4,08:00,UTC,296,1.7
2019,1,4,08:30,UTC,302,1.5
2019,1,4,09:00,UTC,306,1.6
2019,1,4,09:30,UTC,300,1.6
2019,1,4,10:00,UTC,312,1.5
2019,1,4,10:30,UTC,300,1.4
2019,1,4,11:00,UTC,306,1.3
2019,1,4,11:30,UTC,303,1.3
2019,1,4,12:00,UTC,309,1.1
2019,1,4,12:30,UTC,300,1.1
2019,1,4,13:00,UTC,303,1.1
2019,1,4,13:30,UTC,303,1.1
2019,1,4,14:00,UTC,300,1
2019,1,4,14:30,UTC,305,0.9
2019,1,4,15:00,UTC,312,0.8
2019,1,4,15:30,UTC,315,0.8
2019,1,4,16:00,UTC,309,0.8
2019,1,4,16:30,UTC,308,0.8
2019,1,4,17:00,UTC,308,0.7
2019,1,4,17:30,UTC,310,0.7
2019,1,4,18:00,UTC,310,0.8
2019,1,4,18:30,UTC,326,0.8
2019,1,4,19:00,UTC,323,0.8
2019,1,4,19:30,UTC,357,0.8
2019,1,4,20:00,UTC,350,0.9
2019,1,4,20:30,UTC,360,1
2019,1,4,21:00,UTC,354,1
2019,1,4,21:30,UTC,4,1.1
2019,1,4,22:00,UTC,2,1.1
2019,1,4,22:30,UTC,358,1.2
2019,1,4,23:00,UTC,7,1.1
2019,1,4,23:30,UTC,354,1.1
2019,1,5,00:00,UTC,358,1.1
2019,1,5,00:30,UTC,360,1.1
2019,1,5,01:00,UTC,350,1.2
2019,1,5,01:30,UTC,360,1.1
2019,1,5,02:00,UTC,7,1.1
2019,1,5,02:30,UTC,354,1.1
2019,1,5,03:00,UTC,358,1.1
2019,1,5,03:30,UTC,4,1.1
2019,1,5,04:00,UTC,18,1
2019,1,5,04:30,UTC,358,1.1
2019,1,5,05:00,UTC,9,1
2019,1,5,05:30,UTC,8,1
2019,1,5,06:00,UTC,357,1
2019,1,5,06:30,UTC,12,0.9
2019,1,5,07:00,UTC,348,0.9
2019,1,5,07:30,UTC,1,0.8
2019,1,5,08:00,UTC,360,0.8
2019,1,5,08:30,UTC,4,0.7
2019,1,5,09:00,UTC,353,0.7
2019,1,5,09:30,UTC,355,0.7
2019,1,5,10:00,UTC,1,0.6
2019,1,5,10:30,UTC,9,0.5
2019,1,5,11:00,UTC,355,0.5
2019,1,5,11:30,UTC,358,0.5
2019,1,5,12:00,UTC,2,0.5
2019,1,5,12:30,UTC,358,0.5
2019,1,5,13:00,UTC,353,0.4
2019,1,5,13:30,UTC,350,0.4
2019,1,5,14:00,UTC,355,0.3
2019,1,5,14:30,UTC,348,0.3
2019,1,5,15:00,UTC,350,0.3
2019,1,5,15:30,UTC,354,0.3
2019,1,5,16:00,UTC,353,0.2
2019,1,5,16:30,UTC,345,0.2
2019,1,5,17:00,UTC,344,0.2
2019,1,5,17:30,UTC,338,0.2
2019,1,5,18:00,UTC,348,0.2
2019,1,5,18:30,UTC,347,0.2
2019,1,5,19:00,UTC,220,0.2
2019,1,5,19:30,UTC,216,0.3
2019,1,5,20:00,UTC,236,0.2
2019,1,5,20:30,UTC,243,0.3
2019,1,5,21:00,UTC,216,0.3
2019,1,5,21:30,UTC,220,0.3
2019,1,5,22:00,UTC,209,0.3
2019,1,5,22:30,UTC,170,0.2
2019,1,5,23:00,UTC,177,0.2
2019,1,5,23:30,UTC,233,0.3
2019,1,6,00:00,UTC,230,0.3
2019,1,6,00:30,UTC,206,0.3
2019,1,6,01:00,UTC,219,0.3
2019,1,6,01:30,UTC,218,0.3
2019,1,6,02:00,UTC,223,0.3
2019,1,6,02:30,UTC,225,0.3
2019,1,6,03:00,UTC,223,0.3
2019,1,6,03:30,UTC,216,0.3
2019,1,6,04:00,UTC,250,0.3
2019,1,6,04:30,UTC,213,0.3
2019,1,6,05:00,UTC,229,0.3
2019,1,6,05:30,UTC,255,0.3
2019,1,6,06:00,UTC,250,0.3
2019,1,6,06:30,UTC,161,0.3
